location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:102,Ich muss mit deinem Meister sprechen!,我必须和你的主人谈谈！,,,Info_XardasDemon_MASTERHOW.description,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:115,Ich muss mit deinem Meister sprechen!,我必须和你的主人谈谈！,,,Info_XardasDemon_MASTERHOW_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:117,... Ich? ... unwürdig?? ... Was für ein Test???,．．．我？．．．不值得？？．．．什么样的考验？？？,,,Info_XardasDemon_MASTERHOW_15_02,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:119,"... Aaahhhh ... Ich verstehe ... wer deinen Meister sprechen will, muss sich würdig erweisen!",．．．啊，我明白了．．．无论是谁想和你的主人谈话，都必须先证明自己的价值！,,,Info_XardasDemon_MASTERHOW_15_03,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:120,"... Moment, wie war das? ... Der Beweis? ... Sieg über was? ... Sieg über die Elemente?",．．．慢着，那是什么？．．．证据吗？．．．战胜什么东西？．．．战胜那些元素了吗？,,,Info_XardasDemon_MASTERHOW_15_04,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:121,... Stein? ... Eis? ... Feuer?,．．．石头？．．．冰？．．．火？,,,Info_XardasDemon_MASTERHOW_15_05,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:138,Du sprichst in Rätseln!,你在说谜！,,,Info_XardasDemon_NOHEART.description,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:155,Du sprichst in Rätseln!,你在说谜！,,,Info_XardasDemon_NOHEART_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:157,"... Das hast du schon mal gesagt, du wiederholst dich!",．．．你以前说过的，你再重复一遍！,,,Info_XardasDemon_NOHEART_15_02,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:158,"... Du willst Beweise für den Sieg über die Elemente Feuer, Eis und Stein!",．．．你想要看看战胜火、冰及石头等元素的证据吗？,,,Info_XardasDemon_NOHEART_15_03,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:169,... Was? ... Aha! ... Ein würdiger Beweis!,．．．什么？．．．对！．．．有价值的证据！,,,Info_XardasDemon_GIVEHEART_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:170,... Fehlen? ... Zwei fehlen noch?,．．．找不到？两个都还是找不到吗？,,,Info_XardasDemon_GIVEHEART_15_02,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:176,... Die Dualität? ... Der zweite Beweis?,．．．二元性？．．．第二个证据？,,,Info_XardasDemon_GIVEHEART_15_03,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:177,... Einer bleibt noch?,．．．有一个仍然留着吗？,,,Info_XardasDemon_GIVEHEART_15_04,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:183,... Vollkommenheit? ... Ich bin würdig?,．．．完成了？．．．我证明我的价值了吗？,,,Info_XardasDemon_GIVEHEART_15_05,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:184,"Wenn das so ist, dann wünsche ich jetzt, deinen Meister zu sprechen!",如果真是那样，我想现在和你的主人谈谈！,,,Info_XardasDemon_GIVEHEART_15_06,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:185,... Gegenbeweis? ... Was für einen Gegenbeweis? ... Eine Rune? ... Eine Rune für mich?,．．．反证？．．．什么反证？．．．符石？．．．给我的符石？,,,Info_XardasDemon_GIVEHEART_15_07,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:186,"Nun, dann nehme ich die Rune der Teleportation als Zeichen der Würde an mich!",好，那么我将接受心灵传送的符咒！,,,Info_XardasDemon_GIVEHEART_15_08,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:201,Ich habe hier das Herz eines Steingolems!,这是石头魔像的心脏。,,,Info_XardasDemon_STONEHEART.description,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:215,Ich habe hier das Herz eines Steingolems!,这是石头魔像的心脏。,,,Info_XardasDemon_STONEHEART_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:232,Ist dieses Herz eines Eisgolems ein Beweis?,这是冰魔像的心脏吗？,,,Info_XardasDemon_ICEHEART.description,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:246,Ist dieses Herz eines Eisgolems ein Beweis?,这是冰魔像的心脏吗？,,,Info_XardasDemon_ICEHEART_15_01,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:262,Was ist mit diesem Herz des Feuergolems?,火魔像的心脏如何？,,,Info_XardasDemon_FIREHEART.description,,
Scripts/content/Story/MISSIONS/DIA_XardasDemon.d:276,Was ist mit diesem Herz des Feuergolems?,火魔像的心脏如何？,,,Info_XardasDemon_FIREHEART_15_01,,
