location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:93,"Du wärst hier nicht lebend reingekommen, wenn das nicht so wäre. Ich hoffe, das war nicht schon alles.",如果你没通过，你就不会来活着到这儿。我希望那不是你做得最好的事。,,,DIA_Gomez_Hello_ThorusSays_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:99,Ich bin viel in der Kolonie rumgekommen und habe gute Kontakte in allen Lagern.,我转遍了殖民地的许多地方，并和所有的营地都有联系。,,,DIA_Gomez_Hello_Kontakte_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:100,Das ist tatsächlich ein guter Grund. Zu wem hast du Kontakte?,那是能证明你的价值。你和谁有联系？,,,DIA_Gomez_Hello_Kontakte_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:102,Das waren alle wichtigen.,那些很重要。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_ThatsAll,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:103,Zu einigen Hehlern im Neuen Lager.,新营地里的一组栅栏。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_NLHehler,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:104,Zu Lares.,赖理斯。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_Lares,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:106,Zu einigen Baals aus dem Lager der Bruderschaft.,有几个巴?斯在兄弟会的营地里。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_Baals,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:107,Zu Cor Kalom.,寇尔卡隆。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_Kalom,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:111,Zu Y'Berion.,贝理昂。,,,DIA_Gomez_Hello.DIA_Gomez_Hello_Kontakte_YBerion,Info_AddChoice,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:117,"Weil hier nur Schwachköpfe rumrennen, die ihre Aufgaben lieber an Neulinge weitergeben, statt sie selber zu erledigen.",这儿只有笨蛋看守着新来者，而不是做他们自己的事。,,,DIA_Gomez_Hello_Spinner_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:118,"Das ist zwar bis auf wenige Ausnahmen richtig, aber kein Grund einen weiteren Schwachkopf anzuheuern.",或许那是正确的。没有理由去雇佣一个笨蛋。,,,DIA_Gomez_Hello_Spinner_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:123,"Ich hoffe ich muss dir nicht erst den Kopf abhacken, um dir zu beweisen, dass ich mit einer Waffe umgehen kann",我希望，我不要砍掉你的脑袋以证明我能够熟练使用武器。,,FALSE,DIA_Gomez_Hello_KopfAb_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:124,Mut und Dummheit liegen dicht beieinander ...,有勇敢和胡涂之间有一个分界。,,,DIA_Gomez_Hello_KopfAb_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:136,Zu Y'Berion.,贝理昂。,,,DIA_Gomez_Hello_Kontakte_YBerion_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:137,Y'Berion gibt sich nicht mit Burschen wie dir ab.,贝理昂不会把时间浪费在像你这样的人身上。,,,DIA_Gomez_Hello_Kontakte_YBerion_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:138,"Dass du lügst, zeigt mir, dass du mich für dumm hältst.",你的谎言告诉我，你以为我是一个白痴。,,,DIA_Gomez_Hello_Kontakte_YBerion_11_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:139,"Dass du mich für DUMM hältst, enttäuscht mich.",我很失望地了解到你以为我是一个笨蛋。,,,DIA_Gomez_Hello_Kontakte_YBerion_11_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:140,"Ich hasse es, enttäuscht zu werden.",我不愿人失望。,,,DIA_Gomez_Hello_Kontakte_YBerion_11_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:149,Zu Cor Kalom.,寇尔卡隆。,,,DIA_Gomez_Hello_Kontakte_Kalom_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:150,Und?,什么？,,,DIA_Gomez_Hello_Kontakte_Kalom_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:156,Zu einigen Baals aus dem Lager der Bruderschaft.,有几个巴尔在兄弟会的营地里。,,,DIA_Gomez_Hello_Kontakte_Baals_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:157,Und?,什么？,,,DIA_Gomez_Hello_Kontakte_Baals_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:177,Zu Lares.,赖理斯。,,,DIA_Gomez_Hello_Kontakte_Lares_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:178,Und?,什么？,,,DIA_Gomez_Hello_Kontakte_Lares_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:184,Zu einigen Hehlern im Neuen Lager.,新营地里的一组栅栏。,,,DIA_Gomez_Hello_Kontakte_NLHehler_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:185,Und?,什么？,,,DIA_Gomez_Hello_Kontakte_NLHehler_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:191,Das waren alle wichtigen.,那些很重要。,,,DIA_Gomez_Hello_Kontakte_ThatsAll_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:194,Beachtlich - für einen Neuling wie dich ...,不算坏－－刚开始．．．,,,DIA_Gomez_Hello_Kontakte_ThatsAll_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:195,Du sollst deine Chance kriegen.,你会有机会的。,,,DIA_Gomez_Hello_Kontakte_ThatsAll_11_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:200,"DAMIT willst du mich beeindrucken? Im Lager gibt es BUDDLER, die bessere Beziehungen haben!",你以为那对我会有触动吗？我们是关系很好的采矿工！,,,DIA_Gomez_Hello_Kontakte_ThatsAll_INSUFF_11_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:214,"Heißt das, ich bin dabei?",意思是我也在其中？,,,DIA_Gomez_Dabei.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:228,"Heißt das, ich bin dabei?",意思是我也在其中？,,,DIA_Gomez_Dabei_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:229,"Genau das heißt es. Du bist jetzt einer von uns, Kleiner.",你当然是。你现在是我们的一员了。,,,DIA_Gomez_Dabei_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:230,Alles Weitere wird dir Raven erzählen.,拉恩会告诉你有关情况的。,,,DIA_Gomez_Dabei_11_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:260,Ich wollte mal einen Zwischenbericht abgeben.,我只想快些加入。,,,DIA_Gomez_NurSo.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:273,Ich wollte mal einen Zwischenbericht abgeben.,我只想快些加入。,,,DIA_Gomez_NurSo_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:274,"Dann geh zu Raven. Und sprich mich nie wieder an, ohne dass du dazu aufgefordert worden bist!",那么去看看拉恩吧。不要再提到我，除非你被告知！,,,DIA_Gomez_NurSo_11_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:304,Wie bist du denn hier rein gekommen?,你怎样到这儿的？,,,DIA_EBR_100_Gomez_Wait4SC_11_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:305,"Moment! Bist du nicht diese Pestzecke gewesen, die unsere Leute in der Freien Mine kalt gemacht hat?",慢着！你难道不是在自由矿坑攻击我们的人吗？,,,DIA_EBR_100_Gomez_Wait4SC_11_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:306,"Deine Leute hatten kein Recht, dort einzufallen. Ich habe diesen Anflug von Größenwahnsinn nur wieder korrigiert!",你的人没有权力侵占它。我只是纠正他们的狂妄自大罢了！,,,DIA_EBR_100_Gomez_Wait4SC_15_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:307,"Du hast Mut, so mit mir - GOMEZ - zu sprechen, aber es war ziemlich dumm von dir, hier einfach aufzutauchen.",和我－－葛梅兹讲话，在某种程度上显示出你的勇气。但是，你这样在这儿是很傻的。,,,DIA_EBR_100_Gomez_Wait4SC_11_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_100_Gomez.d:308,"Ich werde persönlich sicherstellen, dass du mir nie wieder in die Suppe spucken wirst.",我会亲自去占领它，你再也不会妨碍我了。,,,DIA_EBR_100_Gomez_Wait4SC_11_05,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:33,Wer bist du?,你是谁？,,,DIA_SCAR_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:43,Wer bist du?,你是谁？,,,DIA_SCAR_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:44,Sie nennen mich Scar.,他们叫我史卡耳。,,,DIA_SCAR_Hello_08_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:56,Was ist deine Aufgabe hier?,您是干什么的？,,,DIA_SCAR_What.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:69,Was ist deine Aufgabe hier?,您是干什么的？,,,DIA_SCAR_What_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:70,"Ich und Arto passen auf, dass Gomez niemand zu nahe kommt, der hier nicht eingeladen wurde,",我和亚图要确保没人打扰葛梅兹，除非他们是被邀请的。,,FALSE,DIA_SCAR_What_08_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:71,"Außerdem kümmere ich mich darum, dass die Frauen hier nicht zu kurz kommen .",我相信女人们得不到安宁。,,,DIA_SCAR_What_08_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:83,"Als sie mich reingeworfen haben, habe ich eine Frau gesehen.",当他们把我带到这儿时，我看到一个女人被带走了．．．,,,DIA_SCAR_Frau.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:96,"Als sie mich reingeworfen haben, habe ich gesehen, wie eine Frau zusammen mit den Waren heruntergefahren wurde.",当他们把我带到这儿时，我看到一个女人和一些货物一起被带走了。,,,DIA_SCAR_Frau_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:97,Und?,什么？,,,DIA_SCAR_Frau_08_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:98,Ist sie hier?,她在这儿吗？,,,DIA_SCAR_Frau_15_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:99,"Wenn du dich für sie interessierst, geb' ich dir einen guten Rat: Vergiss sie.",看，如果你对她感兴趣，让我给你提个建议：忘掉她。,,,DIA_SCAR_Frau_08_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:100,Sie ist gerade angekommen und Gomez hat sie bei sich auf dem Zimmer eingesperrt.,她只是刚到这儿，葛梅兹就把她锁进了他的房间。,,,DIA_SCAR_Frau_08_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:101,"Wenn er sie 'ne Zeit lang gehabt hat, schickt er sie vielleicht runter. Aber jetzt gehört sie IHM - also verschwende besser keinen Gedanken an sie.",当他和她做完后，或许他会把她送下来。但因为她已经是他的了，所以你最好不要再去想她。,,,DIA_SCAR_Frau_08_05,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:114,Kannst du mir etwas über Gomez erzählen?,您能告诉我有关于葛梅兹的事么？,,,DIA_SCAR_PERM.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:127,Kannst du mir etwas über Gomez erzählen?,您能告诉我有关于葛梅兹的事么？,,,DIA_SCAR_PERM_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:128,"Über ihn musst du nur wissen, dass er der mächtigste Mann der Kolonie ist.",你需要知道的是，他是殖民地里最有权力的人。,,,DIA_SCAR_PERM_08_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_101_Scar.d:129,"Er kann alles haben, was er will, aber das einzige, was ihn WIRKLICH interessiert, ist Einfluss.",他想要什么就会得到什么。但他最想要的就是权力。,,,DIA_SCAR_PERM_08_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:33,Wer bist du?,你是谁？,,,DIA_ARTO_Hello.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:43,Wer bist du?,你是谁？,,,DIA_ARTO_Hello_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:44,Ich bin Arto.,我是亚图。,,,DIA_ARTO_Hello_13_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:56,Was machst du so?,您在这里干什么？,,,DIA_ARTO_What.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:69,Was machst du so?,你在这周围干什么？,,,DIA_ARTO_What_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:70,Ich bin Gomez' Leibwächter.,我是葛梅兹的巡逻兵。,,,DIA_ARTO_What_13_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:83,"Du redest nicht viel, was?",您沉没寡言，是吧？,,,DIA_ARTO_PERM.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:96,"Du redest nicht viel, was?",您沉没寡言，是吧？,,,DIA_ARTO_PERM_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_102_Arto.d:97,Nein.,不是。,,,DIA_ARTO_PERM_13_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:47,Was kann ich für dich tun?,我能帮你吗？,,,DIA_Raven_FirstIn_10_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:59,Wer bist du?,你是谁？,,,DIA_Raven_Who.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:69,Wer bist du?,你是谁？,,,DIA_Raven_Who_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:70,"Ich bin Raven. Gomez' rechte Hand. Jeder, der hier ist, um mit Gomez zu reden, redet vorher mit MIR.",我是拉恩，葛梅兹的亲信。任何想见葛梅兹的人必须先和我谈谈。,,,DIA_Raven_Who_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:82,Ich habe eine Ladung Kraut für Gomez von Cor Kalom.,寇尔卡隆让我带了一些沼泽烟草给葛梅兹。,,,DIA_Raven_Krautbote.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:95,Ich habe eine Ladung Kraut für Gomez von Cor Kalom.,寇尔卡隆让我带了一些沼泽烟草给葛梅兹。,,,DIA_Raven_Krautbote_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:96,"Bartholo kümmert sich um diese Sachen, Gomez selbst gibt sich nicht mit Boten ab.",巴索罗负责处理各种事务。葛梅兹不管乱七八糟的事。,,,DIA_Raven_Krautbote_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:97,Du findest ihn in der Kammer hier rechts hinter dem Eingang oder in der Küche im großen Turm.,你会在房间的入口后面，右边的房子里或大塔的厨房里找到他。,,,DIA_Raven_Krautbote_10_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:98,"Nachts schläft er natürlich. Da würd' ich es nicht wagen, ihn zu stören.",因为他晚上睡觉。所以如果我是你，我就不会打扰他。,,,DIA_Raven_Krautbote_10_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:112,"Ich will zu Gomez. Thorus sagt, ich soll als Schatten aufgenommen werden.",我想见葛梅兹。索拉斯说我会成为一名巡逻兵的。,,,DIA_Raven_Aufnahme.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:126,"Ich will zu Gomez. Thorus sagt, ich soll als Schatten aufgenommen werden.",我想见葛梅兹。索拉斯说我会成为一名巡逻兵的。,,,DIA_Raven_Aufnahme_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:127,Wir sind immer auf der Suche nach guten Leuten. Du scheinst mir nicht auf den Kopf gefallen zu sein. Du könntest es hier zu was bringen.,我们经常是在看守里选取能干的人。看起来，你很有智慧。或许会被录用。,,,DIA_Raven_Aufnahme_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:128,Ich werde dich zu Gomez führen. Folge mir. Und fass nichts an!,我带你去见葛梅兹。跟我走。不要碰任何东西！,,,DIA_Raven_Aufnahme_10_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:156,"Dort hinten ist Gomez. Wenn du ihm keinen Respekt zeigst, werde ich dir persönlich welchen beibringen, ist das klar?",葛梅兹就在那边。如果你不会显示出对他的敬意，那么我会很乐于先教给你，明白吗？,,,DIA_Raven_There_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:172,Wie steht der Erzhandel?,交易进展如何？,,,DIA_Raven_PERM.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:185,Wie steht der Erzhandel?,交易进展如何？,,,DIA_Raven_PERM_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:186,Die Alte Mine spuckt genug aus. Die letzte Lieferung aus der Außenwelt war ziemlich fett.,旧矿坑的生意很好。外部的供应量很大。,,,DIA_Raven_PERM_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:198,"Gomez sagt, ich bin dabei.",葛梅兹允许我加入。,,,DIA_Raven_BinDabei.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:217,"Gomez sagt, ich bin dabei.",葛梅兹允许我加入。,,,DIA_Raven_BinDabei_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:218,Gut! Du kannst dich gleich bei deinem ersten Auftrag bewähren.,很好！你可以在第一次任务中证明自己的价值。,,,DIA_Raven_BinDabei_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:219,"Wenn deine Verbindungen wirklich so gut sind, wie du sagst, solltest du keine Probleme damit haben.",它对你不应该是很难的。只要你的关系广泛即可。,,,DIA_Raven_BinDabei_10_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:235,Was soll ich für dich erledigen?,您想让我做什么？,,,DIA_Raven_SpySect.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:248,Was soll ich für dich erledigen?,您想让我做什么？,,,DIA_Raven_SpySect_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:249,"Wir stehen mit der Bruderschaft in Handelskontakt. Das bedeutet nicht, das wir ihnen unbedingt vertrauen.",我们和兄弟会有许多交易。但那不意味着我们很信任他们。,,,DIA_Raven_SpySect_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:250,Mach dich auf den Weg in den Sumpf.,去沼泽地。,,,DIA_Raven_SpySect_10_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:251,"Wenn du dort im Lager bist, halte die Ohren auf. Alles was du erfährst, kann für uns nützlich sein.",当你到达营地时，一定要耳听六路眼观八方，你探到的每件事或许对我们都是有用的。,,,DIA_Raven_SpySect_10_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:252,"Und je mehr du erfährst, desto besser. Das Ganze erfordert ein gewisses Feingefühl. Du weißt, was ich meine?",发现的越多越好。如果你知道我的意思，你需要很机智地应付事情。,,,DIA_Raven_SpySect_10_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:253,"Bleib ruhig, ich werde ihren Zorn nicht heraufbeschwören.",保持冷静，我不要惹恼他们。,,,DIA_Raven_SpySect_15_05,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:254,"Ich wusste, dass du mich verstehen würdest.",我知道你明白了。,,,DIA_Raven_SpySect_10_06,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:272,Wo bekomme ich bessere Ausrüstung her?,我从哪里能得到更好的装备？,,,DIA_Raven_Equipment.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:285,Wo bekomme ich bessere Ausrüstung her?,我从哪里能得到更好的装备？,,,DIA_Raven_Equipment_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:286,"Geh zu Diego, er wird dir 'ne Rüstung geben. Damit wirst du nicht so schnell umgebracht und sie dient auch gleichzeitig als Ausweis.",去找迪哥。他会给你一些盔甲。它可以阻止敌人对你的打击，同时还是一种身份的像征。,,,DIA_Raven_Equipment_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:287,"Mit deiner neuen Rüstung solltest du hier überall hinkommen, wo du hin musst.",你的盔甲应该可以助你到达所有你需要去的地方。,,,DIA_Raven_Equipment_10_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:288,"Und wenn du Waffen brauchst, geh zu Skip, er ist in der großen Scheune hinten links auf den Burgplatz.",如果你需要武器，那么就去找史开波。在城堡院子的左边，那个大屋子的右后方，你可以找到他。,,,DIA_Raven_Equipment_10_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:314,Ich will einen Zwischenbericht abgeben.,我只想快些加入。,,,DIA_Raven_SpyBericht.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:327,Ich will einen Zwischenbericht abgeben.,我只想快些加入。,,,DIA_Raven_SpyBericht_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:328,Gut. Ich bin gerne gut informiert.,好，我喜欢守约的人。,,,DIA_Raven_SpyBericht_10_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:335,Du hast deine Sache gut gemacht.,你做得很好。,,,DIA_Raven_SpyBericht_10_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:343,"Sie wollen die Eier einer Minecrawler-Königin, um daraus ein Elixier herzustellen, durch das sie Kontakt zum Schläfer aufnehmen können. Ich habe die Eier bei mir.",现在，他们想要一种矿坑上矿坑爬行者的蛋，如此他们便可以酿出一种献给沈睡者的药剂。我有这种蛋。,,,DIA_Raven_SpyBericht_15_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:346,"Interessant. Bin gespannt, ob die Sache funktioniert. Bring die Eier in den Tempel.",非常有趣。把这些蛋带到神殿去吧。,,,DIA_Raven_SpyBericht_10_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:360,Ich weiß noch nicht GENAU was sie vorhaben.,我真的不知道他们的计划。,,,DIA_Raven_SpyBericht_15_05,,
Scripts/content/Story/MISSIONS/DIA_EBR_105_Raven.d:361,Was belästigst du mich dann?,那么，你为什么打扰我？,,,DIA_Raven_SpyBericht_10_06,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:33,Wer bist du?,你是谁？,,,Info_Bartholo_HAllo.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:43,Wer bist du?,你是谁？,,,Info_Bartholo_HAllo_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:44,Ich bin Bartholo. Ich kümmere mich um die Versorgung der Erzbarone.,巴索罗是我的名字。我负责矿场主人的日常用品。,,,Info_Bartholo_HAllo_12_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:45,"Ich regele alles - von Krautlieferungen, über Essen bis hin zur Versorgung der Frauen.",我管理许多事物，从沼泽烟草供应到食物和女人们的供应。,,,Info_Bartholo_HAllo_12_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:46,"Außerdem sorge ich dafür, dass die beiden idiotischen Köche ihre Arbeit gut machen.",我的工作正是监督这些白痴厨师将事情办好。,,,Info_Bartholo_HAllo_12_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:47,Sie sollten mir dafür dankbar sein. Gomez lässt sich nicht jeden Fraß gefallen. Die letzten beiden hat er an die Snapper im Fluss verfüttert.,他们应该很感激的。葛梅兹不能容忍任何一个笨蛋。,,,Info_Bartholo_HAllo_12_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:60,Ich will mit dir handeln.,我想和你做笔交易。,,,Info_Bartholo_PERM.description,,
